coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_fielding,handle_veterans,handle_rookies,handle_players,strategy_knowledge,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,busy,type,data,days_left
1,"Matt","Fryar","",71,"1957-2-24",22806,206,215,184,1,25,2,0,0,0,0,0,0,0,21,17,26,11,2,152,95,108,108,121,114,0,0,0,0,0,0,1,3,3,2,0,140,0,0,0,0,-1,1,1,1,-1,0,-1,3,0,0,1,0,-1,0,-1,0,-1,-1,0,1,0,0,0,0,0,-4,0,-1,7,-2,-8,3,1,0,7,9,3,1,7,-1,8,-1,151,100,143,17,0,0,0,0,0
2,"Sasha","-Grey-","",40,"1988-3-14",56139,206,215,193,2,0,3,0,160,0,0,0,0,0,7,12,4,9,1,44,70,60,57,53,55,0,0,0,0,0,0,1,2,0,1,0,54,0,0,0,0,0,-1,1,-1,-1,1,1,2,1,0,0,1,0,0,0,0,0,-1,0,0,-1,1,-1,0,0,-2,-2,-6,3,1,6,0,0,0,4,12,4,0,-7,0,1,-3,48,66,47,8,0,0,0,0,0
3,"Will","Robertson","",63,"1965-8-11",44159,206,225,191,3,12,1,0,0,4,0,0,0,0,77,71,63,71,0,58,62,0,36,36,36,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-4,4,1,4,0,0,7,8,3,2,3,-2,-7,-3,81,56,53,72,0,0,0,0,0
4,"Steve","Trog","",55,"1973-7-8",90846,206,225,186,8,11,12,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,38,67,140,159,196,0,2,3,2,1,0,108,196,82,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,2,1,-3,-8,3,1,-1,5,8,4,3,-5,-1,1,0,60,0,0,2,121,0,0,0,0
5,"David","Schrempf","",50,"1978-2-7",23468,206,225,197,7,8,6,0,0,5,0,0,0,0,80,72,86,70,2,4,6,26,8,21,14,0,0,0,0,0,0,0,3,2,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-3,3,-4,6,3,0,-1,8,9,2,1,7,0,1,-4,49,8,7,76,0,0,0,0,0
6,"Nate","Cooper","",60,"1968-7-9",6327,206,195,185,5,11,5,0,0,0,0,0,0,0,19,19,27,32,1,113,12,32,74,106,90,0,0,0,0,0,0,0,2,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,4,10,3,1,3,0,0,7,10,3,0,-4,-3,4,6,93,32,107,24,0,0,0,0,0
7,"Marshall","Lamons","",45,"1983-8-21",18763,206,195,188,4,1,4,0,0,0,0,0,0,0,2,10,9,8,1,6,71,22,83,73,78,0,0,0,0,0,0,0,2,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,9,0,1,1,6,1,0,0,7,10,2,1,-5,3,7,5,35,73,24,7,0,0,0,0,0
8,"David","Delgado","",59,"1969-1-13",13872,210,200,178,1,10,2,0,0,0,0,0,0,0,3,17,9,15,3,107,81,85,97,113,105,0,0,0,0,0,0,5,2,3,3,0,79,0,0,0,0,3,2,3,2,3,-1,-3,-2,3,-1,1,0,1,0,2,3,0,3,3,3,3,3,3,0,0,-2,-2,0,-2,3,-6,2,1,0,5,10,3,2,-7,2,4,-4,71,87,107,11,0,0,0,0,0
9,"Ken","Thomas","",48,"1979-11-9",69070,206,205,196,2,7,3,0,0,0,0,0,0,0,5,8,2,10,1,62,78,54,69,50,59,0,0,0,0,0,0,1,1,3,2,0,61,0,0,0,0,0,-1,-1,1,1,1,0,3,0,0,-1,-1,1,0,1,0,1,0,1,1,-1,-1,-1,0,0,3,-3,-1,-1,6,4,2,-2,0,6,12,1,1,2,-9,0,-6,52,73,61,7,0,0,0,0,0
10,"Roberto","Aguirre","",55,"1972-11-14",31762,56,195,177,3,6,1,0,0,4,0,0,0,0,62,72,60,63,3,13,21,1,30,16,23,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-2,2,1,-3,3,0,0,6,10,3,1,-1,6,6,1,18,22,16,64,0,0,0,0,0
