player_id,team_id,league_id,position,role,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,second_nation_id,weight,height,retired,free_agent,last_league_id,last_team_id,organization_id,last_organization_id,language_ids0,language_ids1,uniform_number,experience,person_type,bats,throws,personality_greed,personality_loyalty,personality_play_for_winner,personality_work_ethic,personality_intelligence,personality_leader,historical_id,historical_team_id,best_contract_offer_id,injury_is_injured,injury_dtd_injury,injury_career_ending,injury_dl_left,injury_dl_playoff_round,injury_left,dtd_injury_effect,injury_id,prone_overall,prone_leg,prone_back,prone_arm,fatigue_pitches0,fatigue_pitches1,fatigue_pitches2,fatigue_pitches3,fatigue_pitches4,fatigue_pitches5,fatigue_points,fatigue_played_today,running_ratings_speed,running_ratings_stealing,running_ratings_baserunning,college,draft_year,draft_round,draft_supplemental,draft_pick,draft_overall_pick,draft_eligible,hidden,draft_league_id,draft_team_id,turned_coach,hall_of_fame,rust,inducted,strategy_override_team,strategy_stealing,strategy_running,strategy_bunt_for_hit,strategy_sac_bunt,strategy_hit_run,strategy_hook_start,strategy_hook_relief,strategy_pitch_count,strategy_pitch_around,strategy_no_pinch_if_rested,strategy_never_pinch_hit,strategy_defensive_sub,strategy_dtd_sit_min,strategy_dtd_allow_ph,local_pop,national_pop,draft_protected,morale,morale_player_performance,morale_team_performance,morale_team_transactions,expectation,morale_player_role
1,17,101,1,12,"Throwing ","Man","",29,"2001-2-20",73419,206,0,193,187,0,0,101,0,17,0,0,-1,32,9,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,59,89,3,87,0,0,0,0,0,0,0,0,27,1,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,100,20,0,9,0
2,0,0,1,12,"Jacob","-Cioffi-","",28,"2001-9-1",86041,206,0,181,185,1,1,101,17,0,17,0,-1,2,6,0,3,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,1,0
3,17,101,1,12,"Throwing ","Dude","",28,"2002-3-7",32312,206,0,198,194,0,0,101,0,17,0,0,-1,16,9,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,71,32,3,179,0,0,0,0,0,0,0,0,21,2,16,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,-380,20,0,9,0
4,0,0,1,12,"Nagahisa","-Nakamura-","",28,"2001-10-21",71531,98,0,185,186,1,1,101,17,0,17,2,-1,18,6,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,1,0
5,17,101,1,12,"Throwing ","Guy","",29,"2001-2-20",73419,206,0,193,187,0,0,101,18,17,18,0,-1,9,9,0,1,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,59,89,3,87,0,0,0,0,0,0,0,0,27,1,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,110,20,0,9,0
6,17,101,1,12,"Cesar ","Ellis","",30,"2000-2-28",25852,28,0,210,192,0,0,100,1,17,1,5,2,41,10,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,82,11,63,172,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,3,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,9,0
7,0,0,7,0,"Reggie","Malone","",34,"1996-3-9",81568,206,0,205,199,1,1,100,11,0,11,39,0,45,6,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,78,70,0,0,1,0,6,6,0,0,100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
8,11,100,9,0,"Godfrey","Bowman","",33,"1997-4-16",82294,206,0,210,189,0,0,101,16,11,16,0,-1,72,10,0,2,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,28,46,4,36,0,0,0,0,0,0,0,0,72,70,72,0,0,2,0,6,12,0,0,100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,4,4,0,100,0,105,0,2,0
9,0,0,7,0,"King","Swamp Troll","",33,"1997-4-20",86851,85,0,276,198,1,1,101,16,0,16,6,-1,42,8,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,50,0,0,4,0,4,22,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
10,0,0,1,12,"Ludwig","Groetzinger","The Swiss Miss",26,"2003-8-27",7446,186,0,211,203,1,1,100,2,0,2,7,32,57,7,0,3,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,90,136,71,65,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,1,13,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,2,0,0,0,0,0,3,0
11,0,0,1,11,"Chris","Bennett","",34,"1996-7-4",13181,206,0,205,188,1,1,100,1,0,1,0,-1,21,7,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,47,49,57,36,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,2,0,0,0,0,0,3,0
12,10,100,1,11,"Guy","Walker","BustBoi",30,"2000-4-18",8202,28,0,200,174,0,0,100,0,10,0,5,-1,4,10,0,1,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,113,116,71,153,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,3,21,0,0,100,10,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,'',0,0,6,3,0,100,-140,185,0,3,0
13,0,0,5,0,"AJ ","Robertson ","",29,"2001-1-21",8352,206,0,195,192,1,1,100,3,0,3,0,32,22,7,0,2,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,58,83,16,76,0,0,0,0,0,0,0,0,60,40,60,0,0,3,0,5,17,0,0,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,0,0,0,0,2,0
14,25,100,9,0,"Nate","Piazza","",35,"1995-7-7",41955,206,0,195,179,0,0,100,26,25,26,1,0,31,10,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,46,37,27,74,0,0,0,0,0,0,0,0,50,30,50,0,0,1,0,5,5,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,2,0,100,0,-30,0,8,0
15,10,100,8,0,"Jimmy","Dong","Bong",32,"1998-3-14",86285,206,0,210,190,0,0,100,0,10,0,0,-1,27,10,0,2,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,120,40,120,0,0,2,0,3,9,0,0,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,100,250,185,0,8,0
16,9,100,1,11,"Anderson","Pooper","",29,"2000-10-5",48195,28,0,175,192,0,0,100,10,9,10,5,-1,2,10,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,100,9,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,'',0,0,1,1,0,100,440,-60,0,3,0
17,3,100,1,11,"Ryan","Stryker","",30,"1999-9-20",80680,36,0,194,202,0,0,100,1,3,1,32,-1,14,10,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,74,43,108,73,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,7,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,100,500,-65,0,3,0
18,1,100,1,11,"Mac","Kaarbine","",37,"1993-7-13",16637,36,0,180,183,0,0,100,25,1,25,32,-1,10,10,0,3,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,80,139,36,66,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,3,15,0,0,100,10,0,0,0,0,1,0,0,0,0,0,0,0,75,0,0,0,'',0,0,4,4,0,100,-480,-65,0,3,0
19,0,0,4,0,"Ike","Thompson","",29,"2001-5-31",90847,206,0,200,192,1,1,101,16,0,16,0,-1,77,8,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,30,60,0,0,2,0,5,11,0,0,100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
20,2,100,2,0,"Billy","Benson","",31,"1999-4-20",22522,206,0,200,187,0,0,100,0,2,0,1,0,10,10,0,2,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,60,84,60,0,0,2,0,2,8,0,0,100,2,0,0,0,0,1,-1,1,-5,-5,0,0,0,0,0,0,0,'',0,0,6,4,0,100,70,60,0,8,0
21,0,0,7,0,"Sleve","McDichael","",33,"1997-5-17",29500,206,0,200,194,1,1,100,3,0,3,0,-1,16,7,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,50,0,0,3,0,2,14,0,0,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
22,26,100,1,11,"Tyler","Oles","",34,"1996-2-9",6650,206,0,220,193,0,0,100,25,26,25,0,-1,8,10,0,1,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,4,4,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,-500,-145,0,3,0
23,19,101,8,0,"Esteban","Ramirez","Julio Ricardo Montoya de la Rosa",26,"2004-5-7",33809,148,0,205,192,0,0,101,17,19,17,1,-1,34,10,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,52,80,55,23,0,0,0,0,0,0,0,0,60,40,60,0,0,1,0,4,4,0,0,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,1,0
24,26,100,3,0,"Kimetrius","Webster","Cute Boi",30,"2000-4-14",14717,206,0,205,185,0,0,100,24,26,24,39,0,32,10,0,2,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,110,98,99,135,0,0,0,0,0,0,0,0,50,30,50,0,0,4,0,2,20,0,0,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,100,220,-145,0,8,0
25,0,0,7,0,"Richard","Physt","",35,"1994-9-22",65417,36,0,200,186,0,1,101,29,0,29,32,-1,29,8,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,52,0,0,3,0,4,16,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
26,0,0,1,12,"Michael ","O'Dowd","",31,"1999-1-3",10948,206,0,210,184,1,1,100,24,0,24,0,-1,21,8,0,2,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,6,24,0,0,100,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,4,0
27,2,100,1,11,"Mookie","Banks","",29,"2000-12-25",72528,206,0,230,205,0,0,100,2,2,2,1,0,9,12,0,1,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,56,87,78,3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,3,0,0,100,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,'',0,0,5,4,0,100,500,60,0,3,0
28,27,100,4,0,"Takumi","Fujiwara","",31,"1999-7-21",30449,98,0,170,182,0,0,100,2,27,2,2,-1,16,9,0,1,1,0,1,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,50,0,0,1,0,1,1,0,0,100,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
29,24,100,5,0,"Weldon","Borthwell","",28,"2001-11-1",72460,206,0,215,189,0,0,100,1,24,1,1,0,10,10,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,4,2,5,5,0,0,0,0,0,0,0,0,60,40,60,0,0,1,0,1,1,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,101,90,80,0,8,0
30,0,0,2,0,"Thunder","Strokeharder","",27,"2002-11-18",47053,217,0,215,188,1,1,100,3,0,3,30,-1,6,6,0,2,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,58,108,62,4,0,0,0,0,0,0,0,0,70,70,70,0,0,2,0,4,10,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
31,0,0,3,0,"Billy","Baxter","",36,"1993-12-21",25474,206,0,225,194,1,1,100,10,0,10,1,-1,72,4,0,2,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,72,83,54,79,0,0,0,0,0,0,0,0,50,30,60,0,0,1,0,5,5,0,0,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
32,0,0,1,11,"Jax","MacDoo","",29,"2001-3-10",43827,206,0,169,183,1,1,101,18,0,18,0,-1,30,18,0,3,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,87,99,72,92,0,0,0,0,0,0,0,0,28,4,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,4,0
33,0,0,1,11,"Randy","Magnum","",31,"1999-5-18",12985,206,0,176,182,1,1,100,9,0,9,21,-1,68,9,0,2,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,54,71,85,6,0,0,0,0,0,0,0,0,16,2,1,0,0,4,0,5,23,0,0,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,0,0,0,0,4,0
34,0,0,1,12,"Omar","Wright","",34,"1996-6-23",55222,206,0,180,182,1,1,100,3,0,3,21,-1,44,17,0,2,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,57,67,89,15,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,100,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,1,0,0,0,0,0,4,0
35,0,0,1,11,"TJ","Sparks","",34,"1995-10-16",69896,206,0,200,193,1,1,101,16,0,16,21,-1,55,13,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,6,12,0,0,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,4,0
36,0,0,1,11,"J.W. ","Doyle","",34,"1996-6-20",25856,206,0,220,198,1,1,101,18,0,18,21,-1,0,10,0,2,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,6,6,0,0,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,9,0
37,18,101,2,0,"Chris","Hansen","",30,"1999-12-31",84932,206,0,178,175,0,0,101,19,18,19,21,-1,37,17,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,18,18,17,19,0,0,0,0,0,0,0,0,70,70,70,0,0,3,0,5,17,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,1,0
38,17,101,1,12,"Throwing ","Bro","",28,"2002-3-7",32312,206,0,198,194,0,0,101,17,17,17,0,-1,4,8,0,1,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,16,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,-80,20,0,9,0
39,0,0,5,0,"Michael","Rapinski","",31,"1998-8-30",80119,206,0,220,194,1,1,101,17,0,17,21,-1,0,17,0,3,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,60,0,0,1,0,4,4,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
40,0,0,1,11,"Ben","-Janich-","",28,"2002-7-1",66636,206,0,176,185,1,1,101,17,0,17,0,-1,14,8,0,2,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,20,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,1,0
41,17,101,1,11,"Adam","-Campbell-","Dirty",28,"2002-4-20",38456,206,0,165,175,0,0,101,0,17,0,0,-1,12,9,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,59,39,54,85,0,0,0,0,0,0,0,0,35,4,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,1,0
42,0,0,1,12,"Goosebumps","Walkaway","",37,"1993-6-6",35558,206,0,190,198,1,1,100,9,0,9,21,-1,39,7,0,1,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,73,20,160,40,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,4,10,0,0,100,9,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,1,0,100,0,0,0,4,0
43,24,100,1,12,"Trent","Boult","",41,"1989-7-22",65624,135,0,160,180,0,0,100,9,24,9,21,-1,18,22,0,1,2,0,0,0,0,0,30,"","",0,0,0,0,0,0,0,0,0,31,32,32,31,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,5,11,0,0,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,5,5,0,100,500,80,0,4,0
44,0,0,2,0,"Stuart","Westerkamp","",30,"2000-2-20",22779,164,0,180,177,1,1,101,16,0,16,21,-1,43,23,0,1,1,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,0,0,3,0,1,13,0,0,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,100,0,0,0,6,0
45,26,100,1,12,"Matthew","Auston","",40,"1989-11-2",22795,36,0,200,191,0,0,100,9,26,9,0,-1,18,12,0,1,2,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,64,22,128,44,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,5,5,0,0,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,1,0,100,-500,-145,0,3,0
